Hypothesis,Demographic metric,Time period,Term,Robust regression coefficient,t-value,p-value,Standard error,r2
H1,Net reproductive rate,T0-T1,Demographic,0.0015,1.1175,0.2664,0.0013,0.0095
H1,Net reproductive rate,T0-T1,Species provenance,0.0556,0.7344,0.4644,0.0757,0.0095
H1,Net reproductive rate,T0-T1,Interaction,-0.0023,-1.3851,0.169,0.0016,0.0095
H1,Per capita reproduction,T0-T1,Demographic,-1e-4,-0.871,0.3861,1e-4,0.015
H1,Per capita reproduction,T0-T1,Species provenance,0.0292,0.4619,0.6453,0.0631,0.015
H1,Per capita reproduction,T0-T1,Interaction,1e-4,0.623,0.5348,1e-4,0.015
H1,Net reproductive rate,T0-T2,Demographic,0.001,0.5477,0.5851,0.0017,0.0197
H1,Net reproductive rate,T0-T2,Species provenance,0.0746,1.0554,0.2939,0.0707,0.0197
H1,Net reproductive rate,T0-T2,Interaction,-0.0013,-0.7194,0.4736,0.0017,0.0197
H1,Per capita reproduction,T0-T2,Demographic,2e-4,0.5307,0.597,4e-4,0.0082
H1,Per capita reproduction,T0-T2,Species provenance,0.0743,1.0036,0.3184,0.074,0.0082
H1,Per capita reproduction,T0-T2,Interaction,-2e-4,-0.486,0.6282,4e-4,0.0082
H1,Net reproductive rate,T0-T3,Demographic,0.0053,0.8266,0.4107,0.0064,0.0745
H1,Net reproductive rate,T0-T3,Species provenance,2e-4,0.0029,0.9977,0.0805,0.0745
H1,Net reproductive rate,T0-T3,Interaction,-0.0038,-0.5387,0.5915,0.0071,0.0745
H1,Per capita reproduction,T0-T3,Demographic,0,0.2173,0.8285,1e-4,0.0062
H1,Per capita reproduction,T0-T3,Species provenance,-0.0082,-0.0917,0.9272,0.0899,0.0062
H1,Per capita reproduction,T0-T3,Interaction,-1e-4,-1.0634,0.291,1e-4,0.0062
H2,Generation time,T0-T1,Demographic,-0.0028,-0.0666,0.9471,0.0423,0.0885
H2,Generation time,T0-T1,Species provenance,-0.0504,-0.5401,0.5904,0.0933,0.0885
H2,Generation time,T0-T1,Interaction,0.0105,0.2473,0.8052,0.0425,0.0885
H2,Age at first reproduction,T0-T1,Demographic,0.0222,2.197,0.0303,0.0101,0.0924
H2,Age at first reproduction,T0-T1,Species provenance,0.0054,0.0614,0.9512,0.0881,0.0924
H2,Age at first reproduction,T0-T1,Interaction,0.014,0.7188,0.4739,0.0195,0.0924
H2,Generation time,T0-T2,Demographic,-0.0176,-0.726,0.4697,0.0243,0.0334
H2,Generation time,T0-T2,Species provenance,-0.0466,-0.5704,0.5698,0.0817,0.0334
H2,Generation time,T0-T2,Interaction,0.0224,0.9102,0.3651,0.0246,0.0334
H2,Age at first reproduction,T0-T2,Demographic,0.0014,0.1516,0.8798,0.0093,0.0062
H2,Age at first reproduction,T0-T2,Species provenance,0.0642,0.7421,0.4598,0.0865,0.0062
H2,Age at first reproduction,T0-T2,Interaction,-0.0051,-0.3063,0.76,0.0166,0.0062
H2,Generation time,T0-T3,Demographic,-0.0371,-1.1683,0.2461,0.0317,0.0331
H2,Generation time,T0-T3,Species provenance,-0.1751,-1.2719,0.207,0.1376,0.0331
H2,Generation time,T0-T3,Interaction,0.0366,1.159,0.2498,0.0316,0.0331
H2,Age at first reproduction,T0-T3,Demographic,0.0194,1.8439,0.0686,0.0105,0.0232
H2,Age at first reproduction,T0-T3,Species provenance,0.043,0.3843,0.7017,0.1118,0.0232
H2,Age at first reproduction,T0-T3,Interaction,-0.0226,-1.3589,0.1777,0.0166,0.0232
H3,First step attenuation,T0-T1,Demographic,-0.0743,-0.2725,0.7858,0.2725,0.019
H3,First step attenuation,T0-T1,Species provenance,-0.0202,-0.2678,0.7894,0.0755,0.019
H3,First step attenuation,T0-T1,Interaction,0.2283,0.7344,0.4644,0.3109,0.019
H3,Reactivity,T0-T1,Demographic,-2e-4,-0.2067,0.8368,0.001,0.0244
H3,Reactivity,T0-T1,Species provenance,0.0779,0.7621,0.4482,0.1022,0.0244
H3,Reactivity,T0-T1,Interaction,-1e-4,-0.098,0.9222,0.001,0.0244
H3,First step attenuation,T0-T2,Demographic,-0.2092,-0.717,0.4751,0.2917,0.0115
H3,First step attenuation,T0-T2,Species provenance,0.0088,0.1217,0.9034,0.0727,0.0115
H3,First step attenuation,T0-T2,Interaction,0.2906,0.9096,0.3653,0.3195,0.0115
H3,Reactivity,T0-T2,Demographic,0.0016,0.5071,0.6135,0.0032,0.0361
H3,Reactivity,T0-T2,Species provenance,0.1707,1.8745,0.0647,0.0911,0.0361
H3,Reactivity,T0-T2,Interaction,-0.0022,-0.6971,0.4879,0.0032,0.0361
H3,First step attenuation,T0-T3,Demographic,-0.2743,-0.8448,0.4006,0.3247,0.0198
H3,First step attenuation,T0-T3,Species provenance,-0.1087,-1.1608,0.2489,0.0936,0.0198
H3,First step attenuation,T0-T3,Interaction,0.3466,1.0483,0.2974,0.3306,0.0198
H3,Reactivity,T0-T3,Demographic,3e-4,0.5546,0.5809,6e-4,0.0162
H3,Reactivity,T0-T3,Species provenance,0.0352,0.3738,0.7097,0.0941,0.0162
H3,Reactivity,T0-T3,Interaction,-7e-4,-1.1157,0.2684,7e-4,0.0162
H4,Population growth rate,T0-T1,Demographic,0.149,0.8663,0.3896,0.172,0.0243
H4,Population growth rate,T0-T1,Species provenance,0.2338,1.1277,0.2637,0.2073,0.0243
H4,Population growth rate,T0-T1,Interaction,-0.159,-0.7932,0.4307,0.2004,0.0243
H4,Population growth rate,T0-T2,Demographic,0.1368,1.3007,0.1983,0.1052,0.0812
H4,Population growth rate,T0-T2,Species provenance,0.3975,2.3595,0.0216,0.1685,0.0812
H4,Population growth rate,T0-T2,Interaction,-0.317,-2.1282,0.0374,0.1489,0.0812
H4,Population growth rate,T0-T3,Demographic,0.2837,1.7616,0.0836,0.161,0.0375
H4,Population growth rate,T0-T3,Species provenance,0.2841,1.2165,0.2289,0.2336,0.0375
H4,Population growth rate,T0-T3,Interaction,-0.2473,-1.1934,0.2378,0.2072,0.0375
H5,Maximum longevity,T0-T1,Demographic,0.0139,2.8146,0.0062,0.0049,0.06
H5,Maximum longevity,T0-T1,Species provenance,0.016,0.1662,0.8685,0.0966,0.06
H5,Maximum longevity,T0-T1,Interaction,-0.0101,-1.9746,0.0519,0.0051,0.06
H5,Mean life expectancy,T0-T1,Demographic,0.0989,2.0909,0.0398,0.0473,0.0668
H5,Mean life expectancy,T0-T1,Species provenance,0.0626,0.4423,0.6595,0.1415,0.0668
H5,Mean life expectancy,T0-T1,Interaction,-0.0552,-1.0345,0.3042,0.0533,0.0668
H5,Maximum longevity,T0-T2,Demographic,0.0035,0.7378,0.4629,0.0047,0.0021
H5,Maximum longevity,T0-T2,Species provenance,-0.0075,-0.1068,0.9152,0.0702,0.0021
H5,Maximum longevity,T0-T2,Interaction,-0.0034,-0.7193,0.4742,0.0047,0.0021
H5,Mean life expectancy,T0-T2,Demographic,0.0053,0.1543,0.8778,0.0343,0.0448
H5,Mean life expectancy,T0-T2,Species provenance,-0.0673,-0.6406,0.5237,0.105,0.0448
H5,Mean life expectancy,T0-T2,Interaction,0.0312,0.8057,0.4229,0.0387,0.0448
H5,Maximum longevity,T0-T3,Demographic,0.0053,0.6071,0.5457,0.0087,0.0425
H5,Maximum longevity,T0-T3,Species provenance,-0.1273,-0.8299,0.4094,0.1534,0.0425
H5,Maximum longevity,T0-T3,Interaction,-0.0038,-0.4394,0.6617,0.0087,0.0425
H5,Mean life expectancy,T0-T3,Demographic,0.0593,0.8659,0.3895,0.0685,0.041
H5,Mean life expectancy,T0-T3,Species provenance,-0.0714,-0.3488,0.7283,0.2048,0.041
H5,Mean life expectancy,T0-T3,Interaction,-0.0473,-0.6863,0.4948,0.0689,0.041
