Taxon,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Agrimonia_eupatoria,5.265986033384697,0.45608956275149304,-0.4165724959846645,-0.7061411999605314,0.8694894320229015,0.648530919902127,-0.514800829650673,0.05607687040921125,-0.07425551928103463
Alliaria_petiolata,-1.3993704513716207,-1.085446046127628,2.162790772221103,0.5529605245066038,-0.22365301212812252,1.0821684313940632,0.42079945337292696,-0.0018806613217129014,0.1529742774306704
Allium_vineale,-1.4952627100869944,0.14912568123271366,0.824351508539249,0.8198996998048695,-0.39589197360375256,-0.3597967309344692,0.13056006803628745,0.1463088877540114,0.0882406840152338
Andropogon_gerardii,-1.2424476897187384,1.2621045001420665,0.8175450658535085,0.586711977827578,-0.10848733172208458,-0.3892350065436627,0.043585615032248615,-0.0809119027676608,0.2553923105167792
Arenaria_serpyllifolia,-2.04771853399497,0.30008311469668875,1.5642147510586983,0.6286395657733144,-0.2769092694152024,0.2580262120560602,0.35165729871566687,0.29290150247841296,0.10657645577568516
Centaurea_jacea,0.9304761857714152,-0.4789592708750148,-0.8626488415043659,-0.17556540408663196,0.03578186250023584,0.1553207488491472,-0.6993365713311249,0.3110695492638758,0.44930039685171613
Cirsium_palustre,-1.4333142067370954,-0.34815224952455665,2.4051185774514923,0.5271290955088855,-0.7496904439175331,0.6955314511938736,-0.05276301833147426,0.03598327459807258,0.12378929814995822
Cirsium_undulatum,-1.6988579927295768,0.9679266996122561,-1.1381258369295844,-0.6120437866702211,0.5133628148342562,0.3889615213332775,-0.27093952715700564,-0.07754684969167941,-0.13708399693501275
Cirsium_vulgare,-1.2472497702778833,-0.5981638964852152,0.2879297977288559,0.6928755145360299,-0.4795819770347529,-0.4219130393757482,0.778786595675399,-0.0027664723292952775,0.1867492136393185
Myosotis_ramosissima,-2.2945856596879,2.6739595964525766,1.7242629946181132,1.7015747995125787,0.9548465859899541,-0.9995845645220943,-0.06830708416029739,1.2376252295653645,0.08507472810924552
Pimpinella_saxifraga,1.4111174087740201,0.18221100084012323,-0.38511199835476806,-0.1601673769271511,-0.08310510513268936,0.033422964311978776,-0.5071138793565151,-0.02919678889254199,-0.05898264677660305
Plantago_coronopus,-0.8628373425531434,-0.43787144256856997,-0.47340879089717,0.28244436061592315,-0.44386247038852095,-0.40538603717962635,0.20711755761855732,0.052098038600347035,0.0356866407651977
Plantago_media,1.020511983589167,-1.0699098929807853,0.2557638156984963,1.2015792671766756,0.22516892007494815,-0.429114981095796,-1.2443999869056481,-0.057535404344386955,-0.34700403260437523
Poa_alpina,1.4607232688406775,0.05515220650714234,-0.6426326040393306,-0.3302680831768136,0.3141895310119578,0.07009605074794066,1.0370600228086748,0.5718171775966231,0.004435408698602372
Primula_elatior,1.7561572717308431,1.292090298056891,1.2256449899766726,0.7831586666967789,-0.3429651684541769,-0.9296719045222457,0.7995354412235655,-1.0909247937314188,-1.4884862999275887
Primula_veris,2.0632663755630616,0.6110421326124565,0.42410375745954026,0.029764306024114905,-0.19133852833741086,-0.04716016060798386,-0.23583705525817442,-0.31376242001982574,-0.16651549216619774
Ranunculus_acris,-1.276217453499945,0.2792421559925673,0.7327141908912811,0.8849719138629032,-0.3665147185263991,-0.5839299828591717,0.28924954447102,0.0081428900526446385,0.026892416955780665
Ratibida_columnifera,-1.6914638644105913,0.6991786702137663,-1.2566216496082514,-0.6519195019598113,0.3941445914870876,0.40062752265262214,-0.2411093132457748,-0.1727216043557836,-0.11902249751111386
Scabiosa_columbaria,1.5787056305385032,1.07577884656924,-0.11989732741426692,-0.758614508544041,-0.551402465456526,0.37149437055145956,-0.822013664880257,-0.06702218038294495,0.3181443727183679
Sphaeralcea_coccinea,-1.6174494519730906,0.5546660689214586,-1.297497066457752,-0.6641810610533211,0.29864986384627845,0.3800731631433289,-0.17666896017472483,-0.18910465096124807,-0.12855168785730753
Stenaria_nigricans,-1.824285735642678,1.236808239372706,-0.9922388927575265,-0.5213999249713054,0.6752182499163195,0.3757196808475913,-0.36209463341810694,0.0051966686916126385,-0.14864491432538252
Veronica_arvensis,-1.8006120307043525,0.15242732189529626,0.15625181670259747,0.5552022589129723,-0.18298904767968321,-0.33740259217693014,0.2572461071480071,0.20214911292160082,0.08804379756110049
