"","site_name","-1","0","1","2","3","4","5"
"1","Abeokuta",0,0,0,3,0,0,0
"2","Agroscope Changins",0,4,4,4,4,0,0
"3","Ainsdale Dune Slacks",3,3,3,3,0,0,0
"4","Algaida",0,3,3,3,3,3,0
"5","Archbold Biological Station",3,3,3,0,3,0,0
"6","Bad Lauchstaedt",3,3,3,3,3,0,0
"7","Bayreuth DRAGNet",0,5,5,5,5,5,0
"8","Bladen Lakes State Forest",0,5,5,5,5,5,0
"9","Blandy Experimental Farm",5,5,5,0,0,0,0
"10","CEREEP - Ecotron IDF",0,0,3,3,3,0,0
"11","Caracoles",0,3,3,3,2,0,0
"12","Cary IES",0,5,5,5,0,0,0
"13","Cass",0,5,5,5,0,0,0
"14","Castellanos",0,3,3,3,0,0,0
"15","Cedar Creek LTER",0,3,3,3,0,0,0
"16","Churning Rapids",0,4,4,4,0,0,0
"17","Colombia Missouri",10,0,0,0,0,0,0
"18","Cowichan",0,3,3,3,3,0,0
"19","Dauphin Island",0,5,5,5,0,0,0
"20","Domaninek",0,3,3,3,0,0,0
"21","Fowlers Gap",0,5,5,0,0,0,0
"22","GCE LTER - Sapelo Island",0,6,6,0,0,0,0
"23","Hazelrigg",3,3,3,3,0,0,0
"24","Hobcaw Barony",0,3,5,5,0,0,0
"25","Hulun Buir",0,6,6,6,6,0,0
"26","Izaak Walton League of America (IWLA)",0,3,3,0,0,0,0
"27","Jasper Ridge Biological Preserve",0,3,0,0,0,0,0
"28","Jena",3,3,3,3,0,0,0
"29","Kellogg Biological Station (KBS)",3,3,3,3,3,0,0
"30","Kniezenberg",3,3,3,3,0,0,0
"31","Konza LTER DRAGNet",5,5,0,0,0,0,0
"32","LSU Botanical Garden",0,3,3,0,0,0,0
"33","Ladybird Johnson Wildflower Center",0,6,6,0,0,0,0
"34","Lublin",0,3,3,0,0,0,0
"35","Mendoza",0,3,3,0,0,0,0
"36","Meranges",0,3,3,3,3,0,0
"37","Millville",3,3,3,3,0,0,0
"38","Morella la Vella",0,3,0,0,0,0,0
"39","Nillahcootie",0,3,3,3,3,0,0
"40","Oak Lake Field Station",0,5,5,0,0,0,0
"41","Park Shaked",0,1,1,1,1,0,0
"42","Piedmont Prairie",0,5,5,5,0,0,0
"43","Potrok Aike",0,3,3,3,3,3,3
"44","Saihanba",0,5,5,0,0,0,0
"45","San Claudio",6,6,6,6,0,0,0
"46","Sandflats",0,3,3,3,3,0,0
"47","Shortgrass Steppe LTER",0,3,3,3,0,0,0
"48","Sierra Foothills REC",0,5,5,5,5,0,0
"49","Songyuan",0,3,0,0,0,0,0
"50","Stoderzinken",0,4,0,0,0,0,0
"51","Temple",0,5,5,5,5,0,0
"52","Ukulinga",3,3,3,3,3,0,0
"53","University of Michigan Biological Station",0,5,5,5,5,0,0
"54","University of Wyoming - SAREC",5,5,0,0,0,0,0
"55","WSL",0,3,3,3,3,0,0
"56","Wallula Gap Biological Station-North Face",0,5,5,5,5,5,0
"57","Wallula Gap Biological Station-South Face",0,5,5,5,5,5,0
"58","Wytham Woods",0,5,5,5,5,0,0
